日付,始値,高値,安値,終値,出来高,調整後終値,Unnamed: 7
2009年1月5日,9320,9340,9170,9190,477645,9190,nan
2009年1月6日,9340,9360,9180,9200,474426,9200,nan
2009年1月7日,9290,9490,9280,9390,784929,9390,nan
2009年1月8日,9160,9220,9010,9010,1065245,9010,nan
2009年1月9日,9060,9110,8930,8990,1017708,8990,nan
2009年1月13日,8660,8660,8540,8550,1102988,8550,nan
2009年1月14日,8540,8670,8510,8520,704269,8520,nan
2009年1月15日,8230,8300,8140,8200,1429322,8200,nan
2009年1月16日,8300,8430,8210,8390,698661,8390,nan
2009年1月19日,8480,8500,8360,8420,375961,8420,nan
2009年1月20日,8310,8320,8100,8210,1345642,8210,nan
2009年1月21日,7990,8160,7960,8060,823348,8060,nan
2009年1月22日,8150,8200,7960,8190,1449644,8190,nan
2009年1月23日,8090,8090,7880,7890,1513707,7890,nan
2009年1月26日,7880,7950,7730,7740,1792329,7740,nan
2009年1月27日,7970,8260,7940,8220,820651,8220,nan
2009年1月28日,8190,8330,8070,8270,675167,8270,nan
2009年1月29日,8410,8460,8280,8330,1013980,8330,nan
2009年1月30日,8190,8190,8060,8110,885125,8110,nan
2009年2月2日,7990,8110,7940,8010,725085,8010,nan
2009年2月3日,8000,8250,7930,7930,818315,7930,nan
2009年2月4日,8050,8230,8010,8160,659652,8160,nan
2009年2月5日,8090,8250,8040,8090,608944,8090,nan
2009年2月6日,8290,8330,8180,8210,1205318,8210,nan
2009年2月9日,8390,8430,8060,8070,754293,8070,nan
2009年2月10日,8250,8290,8060,8110,599183,8110,nan
2009年2月12日,7960,8010,7830,7910,1135395,7910,nan
2009年2月13日,7960,8040,7880,7910,586546,7910,nan
2009年2月16日,7880,7950,7840,7870,687780,7870,nan
2009年2月17日,7830,7860,7760,7810,817303,7810,nan
2009年2月18日,7650,7760,7620,7750,827453,7750,nan
2009年2月19日,7760,7790,7690,7700,373267,7700,nan
2009年2月20日,7700,7710,7530,7540,1126893,7540,nan
2009年2月23日,7400,7570,7350,7540,1124168,7540,nan
2009年2月24日,7350,7460,7300,7460,687924,7460,nan
2009年2月25日,7610,7630,7470,7610,749957,7610,nan
2009年2月26日,7600,7740,7570,7590,508702,7590,nan
2009年2月27日,7600,7740,7560,7720,1223176,7720,nan
2009年3月2日,7470,7520,7380,7410,1111021,7410,nan
2009年3月3日,7260,7440,7230,7360,1197098,7360,nan
2009年3月4日,7280,7470,7250,7410,745907,7410,nan
2009年3月5日,7510,7690,7480,7560,1029924,7560,nan
2009年3月6日,7370,7430,7300,7320,848636,7320,nan
2009年3月9日,7330,7380,7180,7200,997139,7200,nan
2009年3月10日,7200,7250,7170,7210,532221,7210,nan
2009年3月11日,7460,7550,7440,7530,1329281,7530,nan
2009年3月12日,7490,7500,7300,7300,527233,7300,nan
2009年3月13日,7580,7730,7580,7730,1122023,7730,nan
2009年3月16日,7770,7910,7770,7880,842447,7880,nan
2009年3月17日,7920,8130,7870,8120,1596772,8120,nan
2009年3月18日,8160,8210,8040,8110,939902,8110,nan
2009年3月19日,8150,8190,8050,8080,847221,8080,nan
2009年3月23日,8090,8400,8080,8400,1201203,8400,nan
2009年3月24日,8600,8670,8440,8610,1552229,8610,nan
2009年3月25日,8650,8710,8550,8630,717022,8630,nan
2009年3月26日,8670,8920,8610,8920,931771,8920,nan
